"order_id","order_date","order_status","payment_method","shipping_city","customer_id","first_name","last_name","order_item_id","product_id","product_name","category_name","quantity","unit_price","cost_price","discount_percent","gross_amount","net_amount","profit"
1,"2025-01-25","Pending","Bank Transfer","Konin",1,"Anna","Kowalska",1,20,"Xbox Series X","Gaming",1,2499.00,2020.00,10.00,2499.00,2249.10,229.10
1,"2025-01-25","Pending","Bank Transfer","Konin",1,"Anna","Kowalska",2,21,"Nintendo Switch OLED","Gaming",2,1599.00,1240.00,0.00,3198.00,3198.00,718.00
2,"2025-01-31","Completed","Cash on Delivery","Olsztyn",2,"Piotr","Nowak",3,15,"USB-C Hub 8-in-1","Accessories",3,249.00,145.00,0.00,747.00,747.00,312.00
2,"2025-01-31","Completed","Cash on Delivery","Olsztyn",2,"Piotr","Nowak",4,20,"Xbox Series X","Gaming",2,2499.00,2020.00,0.00,4998.00,4998.00,958.00
2,"2025-01-31","Completed","Cash on Delivery","Olsztyn",2,"Piotr","Nowak",5,21,"Nintendo Switch OLED","Gaming",3,1599.00,1240.00,0.00,4797.00,4797.00,1077.00
3,"2025-02-20","Completed","Card","Koszlin",3,"Marta","Wisniewska",6,11,"LG UltraGear 27","Monitors",3,1799.00,1360.00,10.00,5397.00,4857.30,777.30
3,"2025-02-20","Completed","Card","Koszlin",3,"Marta","Wisniewska",7,21,"Nintendo Switch OLED","Gaming",1,1599.00,1240.00,0.00,1599.00,1599.00,359.00
3,"2025-02-20","Completed","Card","Koszlin",3,"Marta","Wisniewska",8,15,"USB-C Hub 8-in-1","Accessories",1,249.00,145.00,0.00,249.00,249.00,104.00
3,"2025-02-20","Completed","Card","Koszlin",3,"Marta","Wisniewska",9,23,"Google Nest Hub","Smart Home",3,499.00,330.00,0.00,1497.00,1497.00,507.00
4,"2025-03-10","Completed","BLIK","Gliwice",4,"Tomasz","Wojcik",10,14,"Keychron K2 Keyboard","Accessories",1,399.00,270.00,0.00,399.00,399.00,129.00
5,"2025-03-20","Completed","Bank Transfer","Bialystok",5,"Katarzyna","Kaminska",11,3,"MacBook Air M3","Laptops",3,5499.00,4650.00,0.00,16497.00,16497.00,2547.00
5,"2025-03-20","Completed","Bank Transfer","Bialystok",5,"Katarzyna","Kaminska",12,1,"Lenovo IdeaPad 5","Laptops",1,3299.00,2650.00,0.00,3299.00,3299.00,649.00
6,"2025-04-01","Completed","Cash on Delivery","Hel",6,"Michal","Lewandowski",13,1,"Lenovo IdeaPad 5","Laptops",2,3299.00,2650.00,10.00,6598.00,5938.20,638.20
6,"2025-04-01","Completed","Cash on Delivery","Hel",6,"Michal","Lewandowski",14,2,"ASUS TUF GAMING A15","Laptops",3,4599.00,3720.00,0.00,13797.00,13797.00,2637.00
6,"2025-04-01","Completed","Cash on Delivery","Hel",6,"Michal","Lewandowski",15,16,"Sony WH-1000XM5","Audio",2,1599.00,1190.00,0.00,3198.00,3198.00,818.00
7,"2025-04-18","Completed","Card","Legnica",7,"Agnieszka","Zielinska",16,10,"Dell UltraSharp 27","Monitors",3,2199.00,1650.00,0.00,6597.00,6597.00,1647.00
7,"2025-04-18","Completed","Card","Legnica",7,"Agnieszka","Zielinska",17,6,"Google Pixel 9","Smartphones",2,3499.00,2820.00,0.00,6998.00,6998.00,1358.00
7,"2025-04-18","Completed","Card","Legnica",7,"Agnieszka","Zielinska",18,22,"Philips Hue Starter Kit","Smart Home",3,649.00,430.00,0.00,1947.00,1947.00,657.00
7,"2025-04-18","Completed","Card","Legnica",7,"Agnieszka","Zielinska",19,15,"USB-C Hub 8-in-1","Accessories",2,249.00,145.00,0.00,498.00,498.00,208.00
8,"2025-04-27","Completed","BLIK","Skierniewice",8,"Jakub","Szymanski",20,13,"Logitech MX Master 3S","Accessories",1,449.00,310.00,10.00,449.00,404.10,94.10
9,"2025-05-11","Cancelled","Bank Transfer","Gdynia",9,"Monika","Dabrowska",21,12,"Samsung Odyssey G5","Monitors",1,1499.00,1130.00,10.00,1499.00,1349.10,219.10
